DATE,0,1,2,3,4,5,6,7,8,9,Average
2015-01-01,,,,0.11,,0.16,0.01,,1.77,,0.5125
2015-01-02,0.0,,,0.0,,0.0,0.0,,0.2,,0.04
2015-01-03,,,,,,,,,0.02,,0.02
2015-01-04,,,,,0.0,,,,,,0.0
2015-01-05,,,,,0.0,,,0.0,,,0.0
2015-01-06,0.04,,0.16,0.24,0.12,0.02,0.63,0.08,0.75,1.06,0.255
2015-01-07,,,,,,0.0,,,0.13,,0.065
2015-01-08,,,,,,,,,0.01,,0.01
2015-01-09,,,,,,,,,0.01,,0.01
2015-01-10,,,,,,,,,,,
2015-01-11,,,,,,,0.0,0.02,0.31,,0.11
2015-01-12,,,,,,,,,0.2,,0.2
2015-01-13,,,,,,,,,,,
2015-01-14,,,,,,1.42,,,,,1.42
2015-01-15,,0.14,0.05,,,,,,0.59,0.24,0.26
2015-01-16,0.0,,,,,,,0.04,,,0.02
2015-01-17,,,,,,0.0,0.0,,0.43,,0.14333333333333334
2015-01-18,,,,,,,0.02,,,,0.02
2015-01-19,0.02,,0.0,,0.08,,0.2,0.2,0.0,,0.08333333333333333
2015-01-20,,,,,,,,,0.04,,0.04
2015-01-21,,,,,,0.23,,,0.16,,0.195
2015-01-22,,0.55,0.33,0.0,,0.2,0.24,,0.41,0.16,0.28833333333333333
2015-01-23,,,,,,,,,,,
2015-01-24,,,,,,,,,,,
2015-01-25,,,,,,,,,,,
2015-01-26,0.04,0.02,0.16,0.12,0.08,0.12,0.09,0.2,0.89,0.39,0.19111111111111112
2015-01-27,,0.12,,,,,0.0,,0.2,,0.10666666666666667
2015-01-28,,0.04,,,,,,,0.09,,0.065
2015-01-29,,,0.0,,,0.63,,,,,0.315
2015-01-30,,,0.0,0.02,,0.2,0.02,,0.16,0.0,0.08
2015-01-31,,,,0.0,,0.0,,,0.01,,0.0033333333333333335
2015-02-01,,,,,,,,,0.0,,0.0
2015-02-02,,,,,,,,,0.02,,0.02
2015-02-03,,,,,,,,,,,
2015-02-04,,,,,,0.0,,,0.35,0.04,0.175
2015-02-05,,0.12,,0.02,,0.01,,,0.59,,0.185
2015-02-06,,,,,,,,,0.0,,0.0
2015-02-07,,,,,,0.0,,,,,0.0
2015-02-08,,,,0.0,,0.0,,,0.51,,0.17
2015-02-09,,,,0.01,,0.02,0.0,,0.2,,0.0575
2015-02-10,,,,,,,,0.0,,,0.0
2015-02-11,,,,,,,,,,,
2015-02-12,,,,,,,,,0.02,,0.02
2015-02-13,,,,,,,,,0.07,,0.07
2015-02-14,,,,,,,,,,,
2015-02-15,,,,,,,,,,,
2015-02-16,0.43,0.13,0.2,0.2,0.39,0.16,0.79,0.51,,0.24,0.35125
2015-02-17,0.0,0.04,0.0,0.0,0.08,,0.01,0.05,0.79,,0.12125000000000001
2015-02-18,,0.02,,,0.0,,,0.0,0.47,,0.1225
2015-02-19,,0.12,,,,,,0.0,0.02,,0.04666666666666666
2015-02-20,,,,,,,,,,,
2015-02-21,0.24,,,0.06,0.28,0.24,0.28,,,,0.22000000000000003
2015-02-22,0.12,,,0.04,0.16,0.01,0.04,0.16,0.22,0.24,0.10714285714285714
2015-02-23,,,,,,0.0,,,,,0.0
2015-02-24,,,,,,,,,,,
2015-02-25,,,,,,,,,,,
2015-02-26,0.04,,,,0.04,,0.0,0.04,,,0.03
2015-02-27,,,,,,,,,0.11,,0.11
2015-02-28,,,,,,,,,,,
2015-03-01,0.0,,0.2,0.13,0.0,0.32,0.02,,0.24,0.28,0.13
2015-03-02,,,,,,,,,,,
2015-03-03,0.24,,,0.1,0.24,0.05,,0.17,,0.3,0.15999999999999998
2015-03-04,,,,0.0,,,0.0,,0.01,,0.0033333333333333335
2015-03-05,,,,,,,,,0.06,,0.06
2015-03-06,,,0.01,,,0.06,,,,,0.034999999999999996
2015-03-07,,,,,,0.0,,,,,0.0
